E,N
1065.75,0.0106
1079.18,0.0116
1092.61,0.0127
1106.04,0.0138
1119.47,0.0154
1132.9,0.0166
1146.44,0.0170
1159.76,0.0176
1173.19,0.0157
1186.62,0.0000
1200.05,0.0168
1213.48,0.0186
1226.91,0.0217
1240.34,0.0229
1253.77,0.0262
1267.2,0.0292
1280.63,0.0313
1294.06,0.0361
1307.49,0.0407
1321,0.0483
1334.35,0.0518
1347.78,0.0593
1361.2,0.0654
1374.6,0.0760
1388.7,0.0000
1401.5,0.1116
1414.93,0.1200
1441.79,0.1869
1455.22,0.2500
1468.65,0.3333
1482.08,0.4206
1495.51,0.6044
1508.94,0.6250
1522.37,0.8333
1535.8,1.0759
1549.23,1.4013
1562.66,1.8000
1576.09,2.4490
1589.52,2.9577
1602.95,3.4783
1616.38,4.0602
1629.81,4.7692
1643.24,5.4688
1656.67,6.0317
1670.1,6.5600
1683.53,7.0400
1696.96,7.5806
1710.39,8.5000
1723.82,9.0000
1737.25,9.1667
1750.68,9.1667
1764.11,9.6610
1777.54,10.0426
1790.97,10.3830
1804.4,10.5263
1817.83,11.0544
1831.26,11.4035
1844.7,11.5789
1871.55,12.3566
1885,12.3675
1898.41,12.7208
1911.84,13.6163
1925.27,14.1593
1938.7,14.3617
1952.13,14.8936
1965.56,15.0709
1979,15.1111
1992.42,15.2889
2005.85,16.0000
2019.3,16.1922
2032.7,16.5480
2035.14,17.0819
2059.57,17.0819
2073,17.7936
